uf, pib_per_capita
Distrito Federal, 87016.16
São Paulo, 51364.73
Mato Grosso, 50663.19
Santa Catarina, 48159.24
Mato Grosso do Sul, 43649.17
Rio de Janeiro, 43407.55
Paraná, 42366.71
Rio Grande do Sul, 41227.61
Espírito Santo, 34065.98
Minas Gerais, 32066.73
Goiás, 31506.97
Rondônia, 28722.45
Amazonas, 27572.96
Tocantins, 27448.43
Roraima, 25387.77
Pará Pará, 24846.62
Amapá, 21431.53
Bahia Bahia, 20449.29
Rio Grande do Norte, 20342.11
Pernambuco, 20101.38
Sergipe, 19583.07
Alagoas, 18857.69
Acre, 18420.26
Ceará, 18168.35
Paraíba, 17402.13
Piauí, 17184.70
Maranhão, 15027.69